awake=awoke awoken despert
be=was been ser
become=became become
beat=beat beaten batre
begin=began begun començar
bend=bent bent doblegar
bet=bet bet aposta
bid=bid bid oferta
bite=bit bitten mossegada
blow=blew blown cop
break=broke broken trencar
bring=brought brought portar
broadcast=broadcast broadcast emissió
build=built built construir
burn=burnt burnt cremar
buy=bought bought comprar
catch=caught caught agafar
choose=chose chosen triar
come=came come venir
cost=cost cost cost
cut=cut cut tallar
dig=dug dug cavar
do=did done fer
draw=drew drawn sorteig
dream=dreamt dreamt somni
drive=drove driven conduir
drink=drank drunk beure
eat=ate eaten menjar
fall=fell fallen caure
feel=felt felt sentir
fight=fought fought lluitar
find=found found trobar
fly=flew flown volar
forget=forgot forgotten oblidar
forgive=forgave forgiven perdonar
freeze=froze frozen congelar
get=got got aconseguir
give=gave given donar
go=went gone anar
grow=grew grown créixer
hang=hung hung penjar
have=had had tenir
hear=heard heard escoltar
hide=hid hidden amagar
